word	n
elektri	13735
elektrijaama	3676
elekter	3263
elektriga	1937
elektrivalg	1839
elektrijaam	1203
elektriwalg	1151
elektriv	1060
elektrit	1037
elektrotehnika	763
elektriwoolu	720
elektriwalgustusega	652
elektriwalgustuse	506
elektriwalgustus	484
elektrivalgust	446
elektr	363
elektriw	316
elektrimootor	311
elektrijaamas	307
elektro	307
elektrivalgustusega	306
elekt	298
elektriwalgust	293
elektrifitseerimise	281
elektrijõul	255
elektrita	236
elektrijaamast	227
elektriliini	221
elektrivoolu	216
elektrienergia	189
elektrivalgustus	183
elektrijaamale	168
elektrimootorid	153
elektrilamp	149
elektrist	146
selektsiooni	146
elektriraudtee	140
elektrivalgus	137
elektrilambid	134
elektrivalgusega	134
elektrijaamade	130
elektrijõu	129
elektrienergiat	124
elektrifitseerimine	122
elektriwool	115
elektriliinide	111
elektriwalgus	111
castelekt	110
elektrivarustusega	109
elektrimootori	108
elektrimootorit	103
lastelekt	98
elektrilampide	93
elektriliin	92
elektritööstuse	89
elektrofitseerimise	86
elektrirongi	85
elektriwalgustust	82
elektrivalgustuse	80
elektrijaamad	79
elektrijõudu	77
elektripirne	76
selektsioon	75
elektriwabriku	72
elektrijaamal	70
elektrilambi	69
elektrimasinate	68
elektriwalguse	68
elektrijaamaga	67
telekt	66
elektriwõrgu	65
elektrisisseseade	64
elektriseeritud	61
elektrl	60
elektrivaig	57
elektriline	56
elektrituled	55
elektriwooluga	53
elektrotehnik	53
elektril	52
elektrilampe	52
elektrimootoriga	52
hüdroelektrijaama	52
elektrijõujaama	51
elektritriikraud	51
elektriwalgusega	51
elektra	50
elektrotehnikast	50
elektrifitseerimiseks	49
elektrimootorite	49
elektriwäe	49
elektrikella	48
elektrile	47
selektiivne	46
elektripirnid	45
elektriäri	44
elektriaurulokke	44
elektrini	44
elektripliit	44
elektritrammi	44
elektrofitseerimine	44
elektrienergiaga	43
elektrilokke	43
elektrisisseseadega	42
elektriwabrik	42
elektrijõud	41
elektrivalguse	41
elektriwal	41
elektrikeskuse	40
elektrilised	40
elektrijõujaam	39
elektrifitseeritud	38
elektrijuhed	38
elektrik	38
elektriliinid	38
elektritarwete	38
elektriväli	38
elektriposti	37
elektritulede	37
elektriwalgustufega	37
tastelekt	37
elektris	36
elektriseade	36
elektrijuhtmed	35
elektrilokid	35
elektriliine	34
elektrotehnikas	34
hüdroelektri	34
elektn	33
elektrijuhtmete	33
elektrilöögi	33
elektrimaksu	33
elektritarwitajate	33
elektrituledes	33
elektrifitseerimist	32
elektrijõuu	32
elektrikell	32
elektrilambiga	32
elektrilampi	32
elektrilise	32
elektrirong	32
elektrirongide	32
elektritooli	32
elektrivõrgu	32
selekta	32
elektrikeskus	31
elektrijaamalt	30
elektripirn	30
elektritarbeid	30
elektritoolile	30
